word	vol_lv	count
828143	2	194
842522	2	126
870804	2	39
872762	2	156
878139	1	14
883370	2	190
904422	3	327
909714	3	1648
913459	2	107
916758	2	201
920425	1	21
977344	3	325
982393	2	161
997128	2	252
1002771	3	514
1009449	3	691
1014509	2	218
1027642	2	118
1032297	1	20
1048441	2	47
1058345	2	42
1058930	2	310
1062572	2	138
1071939	3	2104
1106091	2	250
1117393	3	381
1117537	2	83
1136257	3	1403
5569471	3	2147
5572544	1	9
5591814	2	211
6602440	3	464
8066602	1	16
9932274	1	6
13416351	2	255
15571719	2	37
825621	2	76
874736	3	749
883418	2	127
890695	3	661
920308	3	628
942556	2	152
947798	3	903
991303	2	52
999714	3	602
1022053	3	640
1070076	2	244
1093030	3	323
9836798	1	9
1037840	3	826
9297056	2	134
820486	2	175
859075	4	3466
886424	1	10
910777	2	95
920426	2	82
964594	3	356
1091383	2	159
1096131	1	13
7166756	2	75
7168289	1	19
8019273	2	127
9189814	2	315
10456404	2	63
12263626	2	45
12524692	1	9
12673128	1	17
830526	2	80
833025	3	2696
835558	2	115
836085	2	83
838258	3	353
852486	3	565
861486	2	103
865633	1	9
879280	2	129
882190	2	227
885356	2	130
889536	1	13
906449	2	49
914252	2	61
930553	2	293
933835	3	2361
934852	2	56
936053	1	12
936355	2	306
949965	3	501
951240	2	130
958492	1	20
968693	2	42
973889	3	465
991752	2	52
993466	3	550
995965	3	1699
1005624	2	35
1006649	2	152
1007195	3	1767
1023720	3	1457
1025383	2	77
1027284	2	154
1036325	2	210
1039505	2	78
1046707	2	61
1049027	2	35
1059891	2	311
1062340	2	203
1072500	1	21
1085939	2	34
1095100	3	538
1101460	2	39
1108094	3	366
1126404	2	78
1134174	2	166
1134473	2	69
6979535	2	35
8090536	3	631
8090546	2	199
9297474	2	231
9396705	2	164
9446216	2	79
9527329	2	45
9803862	2	65
10121981	2	90
10198585	1	7
10351331	1	17
965117	1	11
1080414	3	1760
1118533	3	746
5568509	2	259
5588172	1	7
5589141	1	6
837270	3	522
861603	2	288
870547	3	1265
920070	2	59
937571	3	338
999270	3	871
1013321	3	1897
1033707	2	130
1044655	2	174
1058779	3	1033
1137346	3	464
1139184	2	303
6534035	3	457
13910669	2	96
871756	3	1380
876984	1	31
9527350	2	197
976199	3	1353
1060831	2	61
12257728	1	30
929605	2	157
1008845	2	90
9368486	2	59
820165	3	1611
823990	3	559
834491	3	368
846417	2	278
850795	2	249
855192	2	38
855672	3	410
856772	3	1081
865174	3	535
865456	3	987
867931	2	308
868971	2	281
883932	3	1226
884333	2	157
891141	3	501
897125	3	1000
910032	3	1755
917816	3	425
917832	2	117
930917	3	1184
947797	2	228
948509	3	346
954966	3	341
956486	2	247
960692	2	54
961791	2	275
970792	2	274
982790	3	625
998206	3	441
1003472	2	90
1006184	3	1741
1033403	2	234
1035207	2	176
1037337	3	382
1044078	4	4023
1045220	3	845
1053852	2	32
1063265	2	228
1063898	2	43
1069531	2	76
1073842	2	75
1075979	2	164
1104205	2	212
1125199	2	237
1134513	2	83
1136654	2	99
5566307	2	86
5568378	3	2680
5568729	3	900
5569615	2	122
6391101	2	41
7433888	2	189
8090521	3	2449
8090537	3	2219
9527290	3	1324
10457519	2	91
12810393	3	1423
13213106	2	67
13512017	2	136
1133850	2	63
13876605	1	13
991951	3	366
6545609	1	17
8205731	2	193
879876	2	198
882136	2	39
1011926	2	290
13073175	2	75
949835	1	8
844179	4	3903
940090	2	157
1038462	2	291
1053690	4	3277
1085604	3	2116
1096036	3	3117
12301109	3	934
12757425	2	68
824813	2	84
921504	3	611
932949	2	224
1117690	2	119
858743	2	144
867519	2	148
900610	2	233
955879	2	41
