BASKET_ID,words
27785458171,"[864312, 865330, 868042, 883306, 901403, 923746, 936268, 958252, 965331, 965963, 1062966, 1074241, 5587656, 7024853, 9420067]"
27785471722,"[847789, 883404, 893018, 901666, 904360, 910473, 953750, 963834, 989101, 989146, 989931, 1026118, 1033142, 1117128, 5568378, 5569230, 6703873, 6944571, 9526410]"
27798115341,"[819840, 830203, 986912, 998679, 1026118]"
27888726231,"[833025, 885390, 917862, 923746, 939602, 939636, 958252, 989101, 1031419, 1041157, 1062425, 1132770, 8016028, 9297146]"
27888726235,[5573812]
27888726239,"[5572276, 5573812]"
27912801320,"[837686, 846959, 862139, 893868, 941830, 958252, 1003487, 1010652, 1031083, 1031272, 1038282, 1041157, 1066095, 1069621, 1078008, 1084138, 1138135, 5569230, 9420067]"
28009116769,"[833247, 857849, 876285, 891707, 893868, 910214, 935796, 947797, 958252, 964734, 973868, 1021324, 1038282, 1041157, 1056855, 1062966, 1069621, 1071939, 1080331, 1111072, 1121494, 1132036, 1132770, 5569230, 7152455, 9297372, 9526430, 9575582]"
28153852085,"[938203, 1041157, 1067749, 5569230, 7410335, 8116306]"
28210420303,"[840361, 993826, 1069621, 1107895, 1112516, 1114597, 5995239]"
28210420304,"[840361, 914753, 937626, 1066057, 5995239]"
28235165410,"[910473, 923746, 965331, 1062966, 5569230]"
28235171240,[1047012]
28243451047,"[825731, 845914, 849843, 855740, 923746, 981521, 1015247, 1066579, 5569230]"
28270742116,"[908213, 910473, 925514, 938203, 981944, 1021324, 1035243, 1082185, 1124729, 7155759]"
28294352071,"[840361, 887428, 983659, 999226, 1029743, 1106116]"
28294352072,"[854257, 1002940, 1011030, 1072799, 1129043]"
28306105849,"[833723, 910473, 989354, 1022053, 1062425, 1076056, 1130777, 1132770, 1138540, 5568378, 10312036, 10312101, 12132265]"
28318041256,"[877402, 923746, 8090440]"
28344366772,"[900610, 923746, 958252, 1041157]"
28405631017,"[826385, 898958, 958252, 966750, 967205, 993638, 1021324, 1132770]"
28511436191,"[909086, 958252, 1069621, 7431990, 7442505, 8090440]"
28511992298,"[910473, 993638]"
28536592411,"[910473, 5569230]"
28638746910,"[1027643, 1098066, 5569230]"
28638746911,[903745]
28674960735,"[9552910, 9553017, 9553193]"
28674960736,"[1044078, 1045779]"
28697870179,"[849098, 900610, 923746, 929751, 1058021, 1110572, 1138189, 7167025]"
28744378630,"[833723, 845288, 865885, 878302, 907061, 923746, 937626, 952317, 958252, 974579, 980727, 1014458, 1031083, 1038282, 1041157, 1042723, 1045779, 1055503, 1114597, 1118533, 1132770, 1133254, 7137686, 8175769, 9526563, 9527487, 9575582]"
28744378635,"[1006188, 1106116]"
28787821867,"[854474, 890610, 995874]"
28853390905,"[833351, 833723, 847049, 901403, 939636, 944486, 958252, 994928, 999226, 1041157, 1055956, 1062966, 1072523, 1081619, 1114597, 1132770, 5565612, 6632301, 7441057, 8090537, 9245479, 9526563]"
28867705979,"[860776, 904360, 1035880, 1041157, 1100490]"
28886535936,"[847049, 897088, 919089, 994928, 1025535, 1041157, 1069621, 1110632, 1114597, 8090537]"
29019055681,"[847049, 882441, 883963, 897954, 910214, 938203, 940996, 944486, 948650, 995610, 1002591, 1043590, 1044078, 1055956, 1082471, 1114597, 1132770, 8249088, 9420067, 9420312]"
29019056198,"[993638, 1041874, 1114157, 10149704]"
29114591239,"[825550, 910214, 938203, 994928, 995610, 1035243, 1055956, 1114597, 1122568, 10344586]"
29194602258,"[949294, 976835]"
29238340753,"[845914, 915616, 939602, 944486, 951197, 994928, 1114597, 1126492, 9420067, 9420312, 12384693]"
29273011581,"[993638, 6423872, 9420067]"
29273011583,"[927379, 986912]"
29276507705,"[884039, 927379, 968215]"
29311610394,"[847049, 885406, 891418, 931726, 958252, 971792, 994928, 1022199, 1041157, 1048205, 1062966, 1069621, 1081355, 1132770, 1134292, 6772890, 9420067, 9420312]"
29311610396,"[840361, 874618, 999226, 1006188, 1006878, 1106523]"
29311610404,"[845914, 851779, 926018, 927681, 954350, 958252, 978179, 990593, 994928, 999858, 1022199, 1037840, 1041157, 1048205, 1069621, 1079305, 1083733, 5583595, 6772890]"
29470856392,"[910473, 1104149, 12185515]"
29483985906,"[833025, 838602, 860248, 860528, 861279, 881125, 888431, 921744, 932298, 933361, 983210, 988693, 990914, 1002499, 1003188, 1005609, 1029743, 1042628, 1047393, 1056746, 1074754, 1084199, 1120443, 1128182, 1128880, 1130763, 6978887, 9527290, 10182813, 12301703, 12385050]"
29483985912,"[834129, 910214, 958252, 993638, 1041157, 1067667, 5569230, 9575167]"
29602231860,"[916122, 931411, 931870, 970030, 995785, 1116682, 1125664]"
29602231864,"[840361, 1106523, 5565612]"
29672520236,"[949294, 1018995, 1112963]"
29807596470,"[910473, 931726, 942525, 958252, 1022199, 1042341, 1064919, 1107382, 9420067, 12352406]"
30034051161,"[847169, 907994, 910214, 935796, 967346, 1022199, 1041157, 1082185, 6632481, 9420067, 9420312, 12427600]"
30037055709,"[855557, 865092, 873178, 907647, 910366, 923746, 958252, 1041157, 1113111, 1120213, 1132770, 1133018, 7410335, 8090440, 12301100, 12428216]"
30054910547,"[899203, 970260, 12731264]"
30087160921,"[889622, 958252, 1041157, 9420312, 12524396]"
30141706463,"[944486, 12384095]"
30190085985,"[883665, 899844, 915616, 928269, 950439, 955801, 958252, 992759, 1017369, 1052306, 1052723, 1055956, 1071939, 9420312]"
30240895556,"[877402, 6632440, 9446699, 12131911]"
30407666537,"[907647, 910214, 1038692, 9420067]"
30515065145,"[876708, 878772, 923746, 944137, 945385, 946273, 995230, 1056480, 5569230, 6632301]"
30531566241,"[842769, 866878, 910214, 937626, 939636, 948650, 962568, 990440, 994928, 1031419, 1041157, 1072799, 1120213, 5587656, 8357613, 9526430, 12301100]"
30531566257,"[841287, 904360, 1035243, 5569230]"
30532135226,"[927028, 1031419, 1041796, 6978854, 7409844, 9420312]"
30578490200,"[944486, 949294, 1048257, 1095275]"
30579081562,"[910473, 935546, 948650, 1041157, 1080414, 5569230]"
