BASKET_ID,words
27384151088,"[906262, 926884, 981521, 1004760, 1024866, 1121581, 7443441, 8205731]"
27384151118,"[917482, 1048462, 5995211]"
27398395191,"[857283, 859651, 880384, 896369, 929286, 929309, 981874, 988211, 992765, 1011736, 1050618, 1051069, 1058779, 1127264, 8249237]"
27398397432,"[870547, 892713, 895930, 914126, 917482, 932949, 944534, 945756, 952559, 1012594, 1031316, 1031448, 1050583, 1059958, 1070845, 1082185, 1098927, 1116190, 5569230, 5570048, 8090521]"
27421155052,"[922281, 997025, 1037840, 1075368, 1130331]"
28619056719,"[973983, 9878598]"
30036460661,"[966851, 982704]"
32931550515,"[978756, 1010967]"
33167770353,[995242]
33659755924,"[904266, 1012587, 10355978]"
