BASKET_ID,words
27785841361,"[848355, 990941, 1007120, 1080414, 1127338, 5590613]"
27841296519,"[884572, 889188, 908236, 911340, 946273, 947732, 966005, 972894, 1019029, 1024629, 1085577, 1105034, 1106505, 1106523, 1112238, 5590457, 6553836, 6772641, 9297575]"
28179848606,"[957828, 1128443]"
28271105379,"[825749, 833025, 835243, 851010, 853601, 865049, 899624, 905539, 916122, 919682, 944439, 946977, 965766, 981521, 1023720, 1023958, 1024051, 1039578, 1055503, 1071939, 1072330, 1080669, 1082310, 1085604, 1095700, 1097001, 1097497, 1110779, 1113111, 1126895, 1133018, 5580793, 5590158, 5591490, 5592455, 6039859, 6443332, 7410275, 9396772, 9445549, 9884838, 12159641]"
28294715442,"[820321, 893629, 1008172, 1038217, 1055863, 1080414, 5587656, 5590613, 5995423, 7433822, 9297575, 10204530]"
28379526769,"[833715, 857215, 880150, 941361, 965766, 973135, 995785, 1003421, 1024306, 1043301, 1056931, 1065778, 1087955, 1110603, 1115335, 5590613, 5590695, 5978648, 6552589]"
28405891204,"[826150, 830297, 842082, 906611, 947798, 973181, 992622, 1029624, 7168224]"
28511793135,"[959420, 1018243, 1119182, 1127141]"
28512365844,[1101098]
28536961019,"[883404, 900598, 959409, 969419, 981521, 1029624, 1095843, 1106523, 5590613, 5590695]"
28639149048,"[891505, 901211, 928049, 959409, 1001148, 1029252, 1106523, 5995165]"
28733269156,"[819112, 826385, 841443, 852521, 883404, 885582, 893018, 903513, 904360, 910291, 918462, 923746, 945627, 962782, 963581, 963971, 984996, 995436, 1034393, 1038217, 1041616, 1060005, 1072483, 1074223, 1074499, 1081177, 1092264, 1117616, 1137383, 5567502, 5995423, 6463403, 6548453, 9552833, 9575072]"
28919236412,"[821761, 839152]"
29019320823,"[928049, 987464, 1022872, 1050229, 6919165, 6944571, 7142552, 8205218]"
29114930543,[6534178]
29114930554,"[931035, 1044078]"
29157510341,[6534178]
29194871587,"[854731, 887375, 919948, 926909, 961379, 991951, 1029252, 1053464, 1091809, 5569792, 8068898, 9553382, 12351966]"
29221780359,"[825494, 826385, 828525, 837139, 839147, 848154, 857283, 867087, 871061, 883549, 896149, 909268, 914190, 914826, 917384, 918588, 942693, 949334, 950439, 953539, 965766, 993592, 1006184, 1019497, 1024306, 1029112, 1039511, 1039578, 1048352, 1053058, 1054047, 1078314, 1081853, 1085604, 1101173, 1105034, 1105623, 1106523, 1123407, 1123556, 1131438, 5588161, 5590837, 6944571, 8293732, 9244977, 9526281, 10150148]"
29238601574,"[984677, 5995503, 10204167]"
29276882739,[6534178]
29330031572,"[820739, 840361, 843116, 843450, 850102, 883404, 885406, 887186, 904360, 907652, 909086, 1002558, 1041616, 1042942, 1077703, 1081853, 1104584, 1104778, 1106523, 1107661, 1110572, 1113111, 1121393, 1130375, 5569792, 5995165, 8019438, 9420211, 9885236, 10121935, 10457046, 12128605, 12457295]"
29353415557,"[833025, 844818, 855138, 865456, 873474, 952972, 1021519, 1023633, 1096317, 12263624]"
29354006718,"[1106523, 5587656, 5981074]"
29392065610,"[909349, 911603, 923746, 958950, 973876, 1016982, 1024051, 1067667, 1077103, 1080669, 1083268, 5995609, 6442823, 12188436, 12263614]"
29471135617,"[832678, 856772, 928049, 952593, 973876, 982790, 1015247, 1018912, 1055503, 1067667, 1068705, 1077103, 1094955, 1106523, 1119550, 1131574]"
29507250384,"[847540, 5995129]"
29507250997,"[1074333, 5574481]"
