BASKET_ID,words
27622395041,"[1884880, 1897446, 2015837, 2028710, 2076042]"
27800420370,[1853301]
27867270071,"[1775420, 1832195, 1836900, 1840134, 1884880, 1890350, 1909209, 1912222, 1934187, 1950545, 1966728, 1998678, 7406458]"
28181741344,"[1737518, 1745322, 1753246, 1756761, 1765656, 1822301, 1826500, 1838126, 1839358, 1842986, 1852854, 1857901, 1884261, 1888944, 1903190, 1919097, 1936619, 1943561, 1973389, 1973703, 1974863, 1989584, 1994208, 1996176, 2039709, 2053092, 2061655, 5705245, 6392177, 8201292, 8202133, 9710713]"
28543205349,[1846901]
28543205395,"[1761407, 1766378, 1793488, 1870702, 1933168, 1944589, 1950874, 1997835, 2008884, 2022108, 2031485, 5707702, 10258061, 12194471, 12266673]"
29098586936,"[1849207, 1903190, 1981027, 1996176, 2025911, 2026887, 6027891]"
29159490062,"[1745709, 1794828, 1816914, 1841748, 1849207, 1867877, 1868069, 1871848, 1884261, 1885849, 1903190, 1918367, 1977670, 1996176, 2002108, 2015775, 2016444, 2016447, 2019097, 2026840, 2037999, 2045796, 2053092, 2067041, 2079856, 6027891, 6607334]"
30192365031,"[1743261, 1744459, 1745709, 1769503, 1771952, 1799775, 1811336, 1816914, 1846499, 1859699, 1869595, 1883108, 1889122, 1903190, 1907325, 1918367, 1925092, 1925243, 1936619, 1942150, 1956421, 1959564, 2002108, 2022047, 2025911, 2046233, 2072398, 5708977, 5716478, 6027891, 6392177, 6607334, 8162228, 8355417]"
30586206543,"[1763674, 2051181]"
30759290742,"[1893963, 1994074]"
31072820334,"[1789492, 1808593, 1914628, 1956853, 2000050]"
31099905269,"[1759849, 1763418, 1791764, 1810202, 1832070, 1856779, 1868069, 1876334, 1895382, 1924706, 1934187, 1944941, 1956853, 1977061, 1981828, 9854664, 10153688, 12814902]"
31136850001,"[1870702, 1902129, 2036316, 6403819, 9854769]"
31147430460,"[1864514, 1956534, 8355693, 9529518]"
31227671461,"[1793907, 1817981]"
31338400022,"[1737318, 1761991, 1774264, 1785252, 1794764, 1834025, 1849207, 1850979, 1856779, 1861269, 1870702, 1880226, 1902598, 1907325, 1916325, 1934187, 1934869, 1945975, 1961174, 1975657, 2010679, 2017057, 2039709, 2059132, 2059946, 2061589, 6027891, 6391846, 6405408, 6565589, 8355417, 9372920, 9373262, 12354566, 12577266]"
31689400108,"[1733878, 1737318, 1748603, 1750951, 1756426, 1772655, 1777908, 1782177, 1789492, 1801591, 1807234, 1807637, 1810202, 1831278, 1834025, 1846499, 1857579, 1865314, 1870702, 1874568, 1875405, 1875583, 1881198, 1900436, 1903190, 1946528, 1987417, 1987628, 1988365, 2000050, 2014569, 2021324, 2030298, 2038349, 2043641, 2044940, 2059946, 2076268, 5716478, 6405523, 6467415, 6967756, 8355417, 9196585, 12528261, 12670701, 13097521]"
31995300186,"[1789492, 1810202, 1825766, 1880240, 1898607, 1910395, 1913428, 1913500, 1932302, 1961437, 2000050, 2014569, 2017356, 2020755, 12354592, 12675405, 13653645]"
32444921044,"[854734, 993304, 1052344]"
32765371241,"[1806956, 1870702, 6567752]"
34166480175,"[1736308, 1737318, 1754341, 1789201, 1800936, 1838152, 1841061, 1844307, 1848584, 1856309, 1856779, 1880226, 1890112, 1905092, 1925243, 1938253, 1961437, 2002108, 2014569, 2018386, 2044940, 2054945, 2080836, 5694069, 5712557, 9196585, 9570464, 9796124, 12670073, 13215598, 13216639, 13216644, 15593037]"
35002875010,"[1780098, 1872053, 1890004, 1903190, 1942858, 1997673, 2050606]"
40668820108,"[1735187, 1802920, 1806956, 1897762, 9653602, 13411734]"
41130590391,"[1786438, 1930036, 1950871, 1967933, 1987417, 2012906, 2017568, 2061589, 5999995, 9521675, 12759438, 16060299, 16060550]"
41162311274,[2043643]
41326690377,"[1846901, 1991055, 1997708, 2043643, 9393631, 12733916, 13990074]"
41575825884,"[1734846, 8355433]"
41632536285,"[1846362, 1976188, 1989119]"
41668050679,"[1744168, 1846166, 2051181]"
41893565311,[13424340]
42174575059,"[1809494, 1857800, 1892500]"
