word	vol_lv	count
KITCHEN GADGETS	3	2210
DOLLAR VALUE PRODUCTS	2	217
HAIR CARE ACCESSORIES	3	1443
HERBS	4	3692
FRZN JCE CONC/DRNKS	3	2724
MISC WINE	3	1360
FAMILY PLANNING	3	484
HEAT/SERVE	4	6364
HAIR CARE PRODUCTS	4	11690
FRZN FRUITS	3	1397
SHAVING CARE PRODUCTS	4	3869
MISCELLANEOUS	3	2297
PET CARE SUPPLIES	3	2997
SWEET GOODS & SNACKS	3	1682
ROLLS	4	5307
SOAP - LIQUID & BAR	4	7044
FOOT CARE PRODUCTS	3	537
MAKEUP AND TREATMENT	4	5577
FLOUR & MEALS	4	3279
FROZEN CHICKEN	3	492
CHIPS&SNACKS	3	1976
JUICE	3	1087
PREPARED/PKGD FOODS	3	985
EYE AND EAR CARE PRODUCTS	3	1117
EXOTIC GAME/FOWL	2	204
INFANT CARE PRODUCTS	3	1385
MUSHROOMS	4	4943
COFFEE SHOP	2	88
FLORAL-ACCESSORIES	2	74
BOOKSTORE	3	1757
FALL AND WINTER SEASONAL	2	311
BOTTLE DEPOSITS	2	94
HOSIERY/SOCKS	3	878
CONTINUITIES	2	192
COOKWARE & BAKEWARE	3	1141
OLIVES	3	2921
BEVERAGE	3	338
RICE CAKES	3	1599
NEW AGE	3	483
COSMETIC ACCESSORIES	2	206
SPRING/SUMMER SEASONAL	3	2045
SANDWICHES	3	844
EASTER	3	755
HOME FREEZING & CANNING SUPPLY	2	199
PACKAGED NATURAL SNACKS	3	409
DISPOSIBLE FOILWARE	3	1085
SYRUPS/TOPPINGS	3	1310
SPORTS MEMORABLILIA	2	234
ROSES	3	363
SHOE CARE	2	262
SEASONAL	2	233
TICKETS	3	662
IMPORTED WINE	3	2017
SUSHI	3	767
DELI SUPPLIES	3	566
SMOKING CESSATIONS	2	64
QUICK SERVICE	2	122
PORTABLE ELECTRIC APPLIANCES	2	123
FILM AND CAMERA PRODUCTS	3	929
DELI SPECIALTIES (RETAIL PK)	3	443
FLORAL BALLOONS	3	351
NON EDIBLE PRODUCTS	2	95
BLEACH	4	3676
RW FRESH PROCESSED MEAT	1	28
IN-STORE PHOTOFINISHING	3	576
FRZN SEAFOOD	2	64
HOME FURNISHINGS	2	94
FROZEN - BOXED(GROCERY)	3	968
LAMB	2	216
FLORAL-FOLIAGE PLANTS	2	257
OVERNIGHT PHOTOFINISHING	2	114
INSECTICIDES	3	728
SERVICE BEVERAGE	2	287
DRY TEA/COFFEE/COCO MIX	2	193
FIREWORKS	2	205
ETHNIC PERSONAL CARE	3	355
ADULT INCONTINENCE	3	509
SEWING	2	167
GARDEN CENTER	3	543
COUPONS/STORE & MFG	3	415
BAKERY PARTY TRAYS	2	132
SUNTAN	3	405
GLASSES/VISION AIDS	2	129
PERSONAL CARE APPLIANCES	2	167
PROPANE	2	52
BABYFOOD	3	475
VEAL	2	106
FRAGRANCES	2	104
FLORAL- HARD GOODS	2	232
BIRD SEED	3	320
LAWN AND GARDEN SHOP	2	298
COFFEE SHOP SWEET GOODS&RETAIL	2	81
LONG DISTANCE CALLING CARDS	2	54
RESTRICTED DIET	2	51
CIGARS	2	157
WATCHES/CALCULATORS/LOBBY	2	40
NATURAL VITAMINS	2	32
(CORP USE ONLY)	2	60
PKG.SEAFOOD MISC	1	6
NATURAL HBC	2	49
MEAT SUPPLIES	2	44
PHARMACY	1	13
GIFT & FRUIT BASKETS	1	18
PROD SUPPLIES	2	37
HOME HEALTH CARE	1	9
MISCELLANEOUS HBC	1	28
BULK FOODS	1	9
TOYS	1	5
BOUQUET (NON ROSE)	1	10
